Key,Context,Variables,en,es,fr,pt,de,af,zu,st
"back","back","","Back","","","","","","",""
"ok","ok","","OK","","","","","","",""
"cancel","cancel","","Cancel","","","","","","",""
"save","save","","Save","","","","","","",""
"app.name","app","","EduDash","","","","","","",""
"app.tagline","app","","Empowering Education Through AI","","","","","","",""
"app.version","app","","1.0.0","","","","","","",""
"common.all","common","","All","","","","","","",""
"common.last_7_days","common","","Last 7 days","","","","","","",""
"common.last_30_days","common","","Last 30 days","","","","","","",""
"common.all_time","common","","All time","","","","","","",""
"common.custom_range","common","","Custom range","","","","","","",""
"common.start_date","common","","Start date","","","","","","",""
"common.end_date","common","","End date","","","","","","",""
"common.apply","common","","Apply","","","","","","",""
"common.viewAll","common","","View All","","","","","","",""
"common.ageYears","common","age","{{age}} years old","","","","","","",""
"common.ageUnknown","common","","Age unknown","","","","","","",""
"common.noClass","common","","No class assigned","","","","","","",""
"common.connectionError","common","","Connection error. Please check your internet.","","","","","","",""
"common.loading","common","","Loading...","","","","","","",""
"common.error","common","","Error","","","","","","",""
"common.success","common","","Success","","","","","","",""
"common.cancel","common","","Cancel","","","","","","",""
"common.optional","common","","Optional","","","","","","",""
"common.add","common","","Add","","","","","","",""
"common.record","common","","Record","","","","","","",""
"common.uploading","common","","Uploading...","","","","","","",""
"common.important","common","","Important","","","","","","",""
"common.not_allowed","common","","Not allowed","","","","","","",""
"common.info","common","","Information","","","","","","",""
"common.confirm","common","","Are you sure?","","","","","","",""
"common.yes","common","","Yes","","","","","","",""
"common.no","common","","No","","","","","","",""
"common.ok","common","","OK","","","","","","",""
"common.close","common","","Close","","","","","","",""
"common.retry","common","","Retry","","","","","","",""
"common.refresh","common","","Refresh","","","","","","",""
"common.upgrade","common","","Upgrade","","","","","","",""
"common.save","common","","Save","","","","","","",""
"common.submit","common","","Submit","","","","","","",""
"common.continue","common","","Continue","","","","","","",""
"common.back","common","","Back","","","","","","",""
"common.next","common","","Next","","","","","","",""
"common.done","common","","Done","","","","","","",""
"common.school_stats_today","common","","📊 School Stats Today","","","","","","",""
"common.school_stats_content","common","studentsPresent, totalStudents, studentsPercentage, teachersPresent, totalTeachers, teachersPercentage, activeClasses, lunchOrders, lastUpdated","Current Status:

👥 Students Present: {{studentsPresent}}/{{totalStudents}} ({{studentsPercentage}}%)
👨‍🏫 Teachers Present: {{teachersPresent}}/{{totalTeachers}} ({{teachersPercentage}}%)
📚 Active Classes: {{activeClasses}}
🍽️ Lunch Orders: {{lunchOrders}}
🚌 Bus Routes: All on time

Last updated: {{lastUpdated}}","","","","","","",""
"common.view_details","common","","View Details","","","","","","",""
"common.quick_settings_content","common","","🔧 Quick Settings","","","","","","",""
"common.quick_settings_description","common","","Fast access to frequently used settings:

⚙️ School Profile
📋 Class Schedules
🎨 Theme Settings
🔔 Notification Preferences
💾 Backup & Sync","","","","","","",""
