Key,Context,Variables,en,es,fr,pt,de,af,zu,st
"back","back","","Back","","","","","","",""
"ok","ok","","OK","","","","","","",""
"cancel","cancel","","Cancel","","","","","","",""
"save","save","","Save","","","","","","",""
"app.name","app","","EduDash","","","","","","",""
"app.fullName","app","","EduDash Pro","","","","","","",""
"app.tagline","app","","Empowering Education Through AI","","","","","","",""
"app.version","app","","1.0.0","","","","","","",""
"fallback.loading_issue","fallback","","Loading issue detected","","","","","","",""
"fallback.description","fallback","","The app is having trouble loading. This might be due to network connectivity or configuration issues.","","","","","","",""
"fallback.go_to_sign_in","fallback","","Go to Sign In","","","","","","",""
"common.error","common","","Error","","","","","","",""
"common.success","common","","Success","","","","","","",""
"common.error_loading","common","","Error loading","","","","","","",""
"common.ok","common","","OK","","","","","","",""
"common.cancel","common","","Cancel","","","","","","",""
"common.unexpected_error","common","","An unexpected error occurred","","","","","","",""
"common.or","common","","or","","","","","","",""
"common.click_here","common","","Click here","","","","","","",""
"common.go_now","common","","Go now","","","","","","",""
"common.try_again","common","","Try Again","","","","","","",""
"common.not_set","common","","Not set","","","","","","",""
"common.enabled","common","","Enabled","","","","","","",""
"common.disabled","common","","Disabled","","","","","","",""
"common.not_available","common","","Not available","","","","","","",""
"common.coming_soon","common","","Coming Soon","","","","","","",""
"common.manage","common","","Manage","","","","","","",""
"common.viewAll","common","","View All","","","","","","",""
"common.loading","common","","Loading...","","","","","","",""
"common.saving","common","","Saving...","","","","","","",""
"common.search","common","","Search...","","","","","","",""
"common.now","common","","Now","","","","","","",""
"common.child","common","","Child","","","","","","",""
"common.feature_in_development","common","","This feature is in development","","","","","","",""
"common.retry","common","","Retry","","","","","","",""
"common.upgrade","common","","Upgrade","","","","","","",""
"common.all","common","","All","","","","","","",""
"common.processing","common","","Processing...","","","","","","",""
"common.verified","common","","verified","","","","","","",""
"common.review_needed","common","","review needed","","","","","","",""
"common.last_activity","common","","Last activity:","","","","","","",""
"common.last_7_days","common","","Last 7 days","","","","","","",""
"common.last_30_days","common","","Last 30 days","","","","","","",""
"common.all_time","common","","All time","","","","","","",""
"common.custom_range","common","","Custom range","","","","","","",""
"common.start_date","common","","Start date","","","","","","",""
"common.end_date","common","","End date","","","","","","",""
"common.apply","common","","Apply","","","","","","",""
"common.ageYears","common","age","{{age}} years old","","","","","","",""
"common.ageUnknown","common","","Age unknown","","","","","","",""
"common.noClass","common","","No class assigned","","","","","","",""
"common.connectionError","common","","Connection error. Please check your internet.","","","","","","",""
"common.optional","common","","Optional","","","","","","",""
"common.add","common","","Add","","","","","","",""
"common.record","common","","Record","","","","","","",""
"common.uploading","common","","Uploading...","","","","","","",""
"common.important","common","","Important","","","","","","",""
"common.not_allowed","common","","Not allowed","","","","","","",""
"common.info","common","","Information","","","","","","",""
"common.confirm","common","","Are you sure?","","","","","","",""
"common.yes","common","","Yes","","","","","","",""
